newLevel,algorithmLevel,checked,keyword_id,keyword_name,topic_name,subtopic_name,Identifiant
5,4,1.0,158.0,Matrix of a linear transformation,Linear Algebra,Linear Transformations,7031
4,3,1.0,353.0,Three points rule,Numerical Methods,,13490
1,1,1.0,148.0,Span,Linear Algebra,Vector Spaces,12178
3,2,1.0,80.0,Planar graph,Graph Theory,,23218
4,4,1.0,129.0,Spectrum,Linear Algebra,Eigenvalues and Eigenvectors,3229
1,1,1.0,147.0,Linear combination,Linear Algebra,Vector Spaces,3904
1,1,1.0,85.0,Product rule,Differentiation,Derivatives,11054
3,2,1.0,269.0,Polynomial interpolation,Numerical Methods,,8647
1,1,1.0,199.0,Integral curve,Differential Equations,,22868
1,5,1.0,137.0,Square linear system,Linear Algebra,Linear Systems,16447
3,1,1.0,166.0,Linear programming,Optimization,,17164
3,2,1.0,146.0,Vector subspace,Linear Algebra,Vector Spaces,4818
3,1,1.0,117.0,Matrix equation,Linear Algebra,Matrices and Determinants,1657
2,1,1.0,146.0,Vector subspace,Linear Algebra,Vector Spaces,3507
4,1,1.0,64.0,Scalar product,Analytic Geometry,,14953
1,2,1.0,108.0,Cartesian coordinates,Integration,,20200
1,3,1.0,45.0,Sample,Statistics,,15
5,4,1.0,158.0,Matrix of a linear transformation,Linear Algebra,Linear Transformations,6442
1,1,1.0,151.0,Basis,Linear Algebra,Vector Spaces,5552
3,5,1.0,265.0,First order,Differentiation,Partial Differentiation,3399
1,1,1.0,148.0,Span,Linear Algebra,Vector Spaces,3534
1,3,1.0,166.0,Linear programming,Optimization,Linear Optimization,18875
4,1,1.0,2.0,Exponential function,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities",16178
4,4,1.0,158.0,Matrix of a linear transformation,Linear Algebra,Linear Transformations,6727
3,2,1.0,5.0,Simplify expressions,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities",8750
2,2,1.0,146.0,Vector subspace,Linear Algebra,Vector Spaces,7684
2,4,1.0,85.0,Product rule,Differentiation,Derivatives,8204
1,2,1.0,114.0,Matrix multiplication,Linear Algebra,Matrices and Determinants,10585
3,3,1.0,176.0,Optimal solution,Optimization,Nonlinear Optimization,16932
3,4,1.0,24.0,Imaginary part,Complex Numbers,,21649
3,2,1.0,269.0,Polynomial interpolation,Numerical Methods,,15259
1,4,1.0,265.0,First order,Differentiation,Partial Differentiation,3195
2,1,1.0,146.0,Vector subspace,Linear Algebra,Vector Spaces,3465
1,3,1.0,295.0,Definition,Integration,Surface Integrals,20886
2,2,1.0,66.0,Orthogonality,Analytic Geometry,,9126
1,1,1.0,75.0,Simple graph,Graph Theory,,19391
2,2,1.0,45.0,Sample,Statistics,,6
2,3,1.0,166.0,Linear programming,Optimization,Linear Optimization,18900
4,3,1.0,146.0,Vector subspace,Linear Algebra,Vector Spaces,5795
1,3,1.0,166.0,Linear programming,Optimization,,18937
5,4,1.0,116.0,Matrix operations,Linear Algebra,Matrices and Determinants,20985
1,2,1.0,119.0,Matrix condensation,Linear Algebra,Matrices and Determinants,10577
1,2,,151.0,Basis,Linear Algebra,Vector Spaces,22639
3,1,1.0,114.0,Matrix multiplication,Linear Algebra,Matrices and Determinants,19010
2,1,1.0,159.0,Kernel,Linear Algebra,Linear Transformations,7561
3,4,,114.0,Matrix multiplication,Linear Algebra,Matrices and Determinants,22105
2,2,1.0,109.0,Polar coordinates,Integration,Double Integration,19682
1,2,1.0,177.0,Minimum,Optimization,Nonlinear Optimization,17128
4,3,1.0,354.0,Five points rule,Numerical Methods,,13172
2,4,1.0,5.0,Simplify expressions,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities",21129
3,2,1.0,146.0,Vector subspace,Linear Algebra,Vector Spaces,3969
2,2,1.0,268.0,Lagrange's interpolation,Numerical Methods,,18610
1,1,1.0,148.0,Span,Linear Algebra,Vector Spaces,2421
1,4,1.0,317.0,Rearranging equations,Fundamental Mathematics,,9351
5,1,1.0,72.0,Cartesian equations of a line,Analytic Geometry,,11001
